<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20210910;074300;72899.0000000;72901.0000000;72896.0000000;72901.0000000;691
20210910;074400;72900.0000000;72910.0000000;72896.0000000;72907.0000000;808
20210910;074500;72907.0000000;72910.0000000;72903.0000000;72910.0000000;216
20210910;074600;72906.0000000;72910.0000000;72906.0000000;72906.0000000;238
20210910;074700;72907.0000000;72908.0000000;72882.0000000;72886.0000000;1518
20210910;074800;72890.0000000;72890.0000000;72875.0000000;72877.0000000;943
20210910;074900;72879.0000000;72893.0000000;72872.0000000;72893.0000000;1640
20210910;075000;72893.0000000;72893.0000000;72888.0000000;72890.0000000;91
20210910;075100;72890.0000000;72899.0000000;72886.0000000;72898.0000000;507
20210910;075200;72898.0000000;72900.0000000;72893.0000000;72899.0000000;504
20210910;075300;72899.0000000;72904.0000000;72897.0000000;72900.0000000;574
20210910;075400;72902.0000000;72902.0000000;72886.0000000;72897.0000000;556
20210910;075500;72894.0000000;72896.0000000;72881.0000000;72883.0000000;797
20210910;075600;72888.0000000;72888.0000000;72866.0000000;72878.0000000;2901
20210910;075700;72879.0000000;72885.0000000;72867.0000000;72870.0000000;894
20210910;075800;72875.0000000;72883.0000000;72871.0000000;72878.0000000;407
20210910;075900;72878.0000000;72882.0000000;72871.0000000;72877.0000000;466
20210910;080000;72877.0000000;72878.0000000;72860.0000000;72869.0000000;2572
20210910;080100;72867.0000000;72869.0000000;72860.0000000;72864.0000000;935
20210910;080200;72864.0000000;72875.0000000;72860.0000000;72870.0000000;1018
20210910;080300;72872.0000000;72875.0000000;72867.0000000;72867.0000000;327
20210910;080400;72869.0000000;72871.0000000;72860.0000000;72863.0000000;345
20210910;080500;72864.0000000;72864.0000000;72837.0000000;72847.0000000;3901
20210910;080600;72847.0000000;72848.0000000;72837.0000000;72841.0000000;913
20210910;080700;72837.0000000;72843.0000000;72834.0000000;72840.0000000;2118
20210910;080800;72843.0000000;72847.0000000;72840.0000000;72844.0000000;518
20210910;080900;72844.0000000;72844.0000000;72834.0000000;72838.0000000;984
20210910;081000;72838.0000000;72838.0000000;72832.0000000;72838.0000000;633
20210910;081100;72837.0000000;72847.0000000;72835.0000000;72847.0000000;493
20210910;081200;72847.0000000;72857.0000000;72845.0000000;72856.0000000;568
20210910;081300;72853.0000000;72868.0000000;72850.0000000;72868.0000000;1437
20210910;081400;72867.0000000;72871.0000000;72866.0000000;72871.0000000;548
20210910;081500;72871.0000000;72871.0000000;72861.0000000;72861.0000000;669
20210910;081600;72862.0000000;72864.0000000;72858.0000000;72861.0000000;283
20210910;081700;72863.0000000;72864.0000000;72860.0000000;72864.0000000;404
20210910;081800;72864.0000000;72877.0000000;72864.0000000;72877.0000000;360
20210910;081900;72875.0000000;72877.0000000;72870.0000000;72870.0000000;280
20210910;082000;72873.0000000;72877.0000000;72872.0000000;72875.0000000;398
20210910;082100;72876.0000000;72889.0000000;72875.0000000;72888.0000000;1040
20210910;082200;72887.0000000;72896.0000000;72884.0000000;72888.0000000;1105
20210910;082300;72888.0000000;72891.0000000;72881.0000000;72884.0000000;375
20210910;082400;72882.0000000;72882.0000000;72872.0000000;72880.0000000;720
20210910;082500;72879.0000000;72882.0000000;72876.0000000;72877.0000000;371
20210910;082600;72877.0000000;72886.0000000;72870.0000000;72874.0000000;672
20210910;082700;72875.0000000;72890.0000000;72875.0000000;72890.0000000;522
20210910;082800;72890.0000000;72892.0000000;72884.0000000;72892.0000000;470
20210910;082900;72892.0000000;72894.0000000;72888.0000000;72894.0000000;205
20210910;083000;72892.0000000;72892.0000000;72860.0000000;72862.0000000;2141
20210910;083100;72862.0000000;72871.0000000;72852.0000000;72853.0000000;796
20210910;083200;72853.0000000;72863.0000000;72833.0000000;72842.0000000;2881
20210910;083300;72842.0000000;72845.0000000;72815.0000000;72819.0000000;4359
20210910;083400;72820.0000000;72830.0000000;72818.0000000;72826.0000000;1262
20210910;083500;72827.0000000;72835.0000000;72815.0000000;72817.0000000;1265
20210910;083600;72817.0000000;72830.0000000;72815.0000000;72824.0000000;772
20210910;083700;72824.0000000;72832.0000000;72822.0000000;72827.0000000;700
20210910;083800;72826.0000000;72833.0000000;72823.0000000;72833.0000000;326
20210910;083900;72832.0000000;72832.0000000;72824.0000000;72827.0000000;678
20210910;084000;72826.0000000;72826.0000000;72806.0000000;72821.0000000;2987
20210910;084100;72821.0000000;72827.0000000;72806.0000000;72806.0000000;1874
20210910;084200;72807.0000000;72813.0000000;72806.0000000;72812.0000000;562
20210910;084300;72810.0000000;72813.0000000;72808.0000000;72808.0000000;344
20210910;084400;72810.0000000;72823.0000000;72807.0000000;72819.0000000;649
20210910;084500;72820.0000000;72827.0000000;72812.0000000;72823.0000000;715
20210910;084600;72825.0000000;72840.0000000;72825.0000000;72833.0000000;996
20210910;084700;72835.0000000;72844.0000000;72835.0000000;72837.0000000;833
20210910;084800;72837.0000000;72842.0000000;72832.0000000;72838.0000000;463
20210910;084900;72837.0000000;72840.0000000;72832.0000000;72832.0000000;920
20210910;085000;72832.0000000;72837.0000000;72830.0000000;72830.0000000;371
20210910;085100;72830.0000000;72832.0000000;72825.0000000;72828.0000000;496
20210910;085200;72830.0000000;72831.0000000;72820.0000000;72822.0000000;532
20210910;085300;72825.0000000;72831.0000000;72823.0000000;72824.0000000;314
20210910;085400;72825.0000000;72835.0000000;72823.0000000;72835.0000000;644
20210910;085500;72835.0000000;72840.0000000;72834.0000000;72837.0000000;495
20210910;085600;72836.0000000;72838.0000000;72833.0000000;72835.0000000;236
20210910;085700;72838.0000000;72842.0000000;72834.0000000;72841.0000000;294
20210910;085800;72842.0000000;72843.0000000;72827.0000000;72828.0000000;681
20210910;085900;72828.0000000;72841.0000000;72828.0000000;72834.0000000;501
20210910;090000;72833.0000000;72869.0000000;72830.0000000;72855.0000000;3655
20210910;090100;72854.0000000;72865.0000000;72852.0000000;72858.0000000;1219
20210910;090200;72862.0000000;72864.0000000;72836.0000000;72839.0000000;1423
20210910;090300;72839.0000000;72848.0000000;72832.0000000;72847.0000000;625
20210910;090400;72848.0000000;72857.0000000;72838.0000000;72838.0000000;644
20210910;090500;72839.0000000;72848.0000000;72839.0000000;72848.0000000;644
20210910;090600;72847.0000000;72852.0000000;72846.0000000;72848.0000000;281
20210910;090700;72848.0000000;72855.0000000;72840.0000000;72853.0000000;657
20210910;090800;72850.0000000;72860.0000000;72849.0000000;72854.0000000;1307
20210910;090900;72852.0000000;72858.0000000;72848.0000000;72855.0000000;349
20210910;091000;72857.0000000;72870.0000000;72851.0000000;72869.0000000;1249
20210910;091100;72867.0000000;72876.0000000;72860.0000000;72860.0000000;1779
20210910;091200;72858.0000000;72873.0000000;72846.0000000;72867.0000000;2403
20210910;091300;72867.0000000;72880.0000000;72864.0000000;72865.0000000;1258
20210910;091400;72863.0000000;72874.0000000;72858.0000000;72871.0000000;452
20210910;091500;72871.0000000;72893.0000000;72869.0000000;72885.0000000;1190
20210910;091600;72882.0000000;72892.0000000;72881.0000000;72884.0000000;702
20210910;091700;72887.0000000;72887.0000000;72876.0000000;72881.0000000;382
20210910;091800;72881.0000000;72887.0000000;72880.0000000;72887.0000000;273
20210910;091900;72883.0000000;72887.0000000;72865.0000000;72879.0000000;1151
20210910;092000;72879.0000000;72884.0000000;72874.0000000;72879.0000000;439
20210910;092100;72876.0000000;72889.0000000;72876.0000000;72889.0000000;295
20210910;092200;72886.0000000;72886.0000000;72879.0000000;72886.0000000;623
20210910;092300;72888.0000000;72893.0000000;72883.0000000;72892.0000000;963
20210910;092400;72893.0000000;72915.0000000;72889.0000000;72905.0000000;3771
20210910;092500;72902.0000000;72902.0000000;72875.0000000;72885.0000000;2296
20210910;092600;72884.0000000;72907.0000000;72876.0000000;72902.0000000;2607
20210910;092700;72902.0000000;72909.0000000;72898.0000000;72907.0000000;660
20210910;092800;72907.0000000;72910.0000000;72890.0000000;72891.0000000;383
20210910;092900;72895.0000000;72896.0000000;72862.0000000;72875.0000000;3890
20210910;093000;72872.0000000;72898.0000000;72871.0000000;72897.0000000;2356
20210910;093100;72897.0000000;72901.0000000;72892.0000000;72895.0000000;588
20210910;093200;72894.0000000;72897.0000000;72877.0000000;72884.0000000;1145
20210910;093300;72887.0000000;72892.0000000;72883.0000000;72888.0000000;266
20210910;093400;72886.0000000;72889.0000000;72877.0000000;72877.0000000;307
20210910;093500;72879.0000000;72882.0000000;72856.0000000;72863.0000000;1267
20210910;093600;72863.0000000;72866.0000000;72844.0000000;72850.0000000;2925
20210910;093700;72850.0000000;72856.0000000;72838.0000000;72845.0000000;1287
20210910;093800;72847.0000000;72857.0000000;72845.0000000;72849.0000000;381
20210910;093900;72849.0000000;72859.0000000;72847.0000000;72857.0000000;793
20210910;094000;72855.0000000;72862.0000000;72851.0000000;72854.0000000;2333
20210910;094100;72858.0000000;72860.0000000;72851.0000000;72860.0000000;932
20210910;094200;72857.0000000;72867.0000000;72856.0000000;72867.0000000;220
20210910;094300;72867.0000000;72867.0000000;72851.0000000;72854.0000000;408
20210910;094400;72852.0000000;72859.0000000;72847.0000000;72852.0000000;414
20210910;094500;72850.0000000;72867.0000000;72849.0000000;72864.0000000;616
20210910;094600;72865.0000000;72871.0000000;72863.0000000;72871.0000000;389
20210910;094700;72871.0000000;72871.0000000;72860.0000000;72866.0000000;225
20210910;094800;72863.0000000;72869.0000000;72855.0000000;72864.0000000;948
20210910;094900;72862.0000000;72863.0000000;72824.0000000;72828.0000000;2536
20210910;095000;72826.0000000;72830.0000000;72812.0000000;72822.0000000;2485
20210910;095100;72822.0000000;72843.0000000;72819.0000000;72839.0000000;1566
20210910;095200;72839.0000000;72844.0000000;72825.0000000;72843.0000000;2060
20210910;095300;72840.0000000;72854.0000000;72835.0000000;72846.0000000;2711
20210910;095400;72846.0000000;72846.0000000;72830.0000000;72837.0000000;887
20210910;095500;72836.0000000;72842.0000000;72831.0000000;72838.0000000;705
20210910;095600;72840.0000000;72849.0000000;72801.0000000;72805.0000000;7666
20210910;095700;72808.0000000;72821.0000000;72802.0000000;72809.0000000;2518
20210910;095800;72806.0000000;72815.0000000;72797.0000000;72800.0000000;5263
20210910;095900;72802.0000000;72817.0000000;72799.0000000;72809.0000000;1303
20210910;100000;72812.0000000;72823.0000000;72800.0000000;72807.0000000;6689
20210910;100100;72805.0000000;72836.0000000;72801.0000000;72817.0000000;4952
20210910;100200;72817.0000000;72817.0000000;72791.0000000;72797.0000000;4762
20210910;100300;72796.0000000;72797.0000000;72778.0000000;72792.0000000;5759
20210910;100400;72792.0000000;72802.0000000;72781.0000000;72791.0000000;4635
20210910;100500;72789.0000000;72812.0000000;72788.0000000;72807.0000000;4867
20210910;100600;72807.0000000;72808.0000000;72781.0000000;72786.0000000;6519
20210910;100700;72786.0000000;72816.0000000;72780.0000000;72812.0000000;5102
20210910;100800;72812.0000000;72829.0000000;72810.0000000;72827.0000000;4119
20210910;100900;72824.0000000;72844.0000000;72823.0000000;72838.0000000;3751
20210910;101000;72837.0000000;72840.0000000;72830.0000000;72837.0000000;4015
20210910;101100;72837.0000000;72850.0000000;72831.0000000;72838.0000000;4519
20210910;101200;72838.0000000;72841.0000000;72829.0000000;72830.0000000;2820
20210910;101300;72828.0000000;72846.0000000;72827.0000000;72831.0000000;2613
20210910;101400;72832.0000000;72836.0000000;72820.0000000;72829.0000000;2285
20210910;101500;72831.0000000;72839.0000000;72822.0000000;72823.0000000;4035
20210910;101600;72826.0000000;72827.0000000;72815.0000000;72818.0000000;2388
20210910;101700;72818.0000000;72826.0000000;72805.0000000;72824.0000000;4907
20210910;101800;72825.0000000;72835.0000000;72822.0000000;72828.0000000;2808
20210910;101900;72827.0000000;72840.0000000;72825.0000000;72837.0000000;2159
20210910;102000;72838.0000000;72847.0000000;72834.0000000;72843.0000000;3361
20210910;102100;72842.0000000;72850.0000000;72832.0000000;72839.0000000;3955
20210910;102200;72840.0000000;72842.0000000;72827.0000000;72835.0000000;1606
20210910;102300;72834.0000000;72841.0000000;72825.0000000;72829.0000000;2410
20210910;102400;72827.0000000;72831.0000000;72819.0000000;72821.0000000;1682
20210910;102500;72821.0000000;72829.0000000;72814.0000000;72817.0000000;2505
20210910;102600;72815.0000000;72818.0000000;72802.0000000;72813.0000000;3500
20210910;102700;72813.0000000;72823.0000000;72812.0000000;72821.0000000;1696
20210910;102800;72818.0000000;72825.0000000;72812.0000000;72820.0000000;2771
20210910;102900;72819.0000000;72820.0000000;72804.0000000;72811.0000000;4089
20210910;103000;72809.0000000;72817.0000000;72804.0000000;72817.0000000;1448
20210910;103100;72815.0000000;72819.0000000;72805.0000000;72814.0000000;1629
20210910;103200;72812.0000000;72814.0000000;72789.0000000;72807.0000000;4269
20210910;103300;72807.0000000;72823.0000000;72807.0000000;72822.0000000;1104
20210910;103400;72822.0000000;72825.0000000;72819.0000000;72822.0000000;1133
20210910;103500;72823.0000000;72830.0000000;72821.0000000;72828.0000000;943
20210910;103600;72829.0000000;72835.0000000;72825.0000000;72832.0000000;1087
20210910;103700;72832.0000000;72834.0000000;72812.0000000;72819.0000000;4279
20210910;103800;72817.0000000;72819.0000000;72794.0000000;72798.0000000;1752
20210910;103900;72798.0000000;72807.0000000;72797.0000000;72802.0000000;1188
20210910;104000;72799.0000000;72815.0000000;72792.0000000;72813.0000000;1383
20210910;104100;72815.0000000;72827.0000000;72813.0000000;72825.0000000;1315
20210910;104200;72824.0000000;72838.0000000;72821.0000000;72827.0000000;1555
20210910;104300;72829.0000000;72837.0000000;72828.0000000;72834.0000000;1250
20210910;104400;72834.0000000;72836.0000000;72828.0000000;72831.0000000;666
20210910;104500;72830.0000000;72836.0000000;72825.0000000;72830.0000000;763
20210910;104600;72832.0000000;72834.0000000;72822.0000000;72828.0000000;828
20210910;104700;72828.0000000;72844.0000000;72827.0000000;72841.0000000;917
20210910;104800;72841.0000000;72844.0000000;72834.0000000;72841.0000000;1105
20210910;104900;72840.0000000;72847.0000000;72837.0000000;72844.0000000;2108
20210910;105000;72844.0000000;72845.0000000;72824.0000000;72829.0000000;1768
20210910;105100;72827.0000000;72831.0000000;72823.0000000;72831.0000000;1406
20210910;105200;72830.0000000;72831.0000000;72820.0000000;72822.0000000;1280
20210910;105300;72822.0000000;72829.0000000;72815.0000000;72821.0000000;2269
20210910;105400;72815.0000000;72828.0000000;72812.0000000;72824.0000000;1360
20210910;105500;72825.0000000;72828.0000000;72819.0000000;72819.0000000;582
20210910;105600;72821.0000000;72824.0000000;72816.0000000;72823.0000000;820
